experiment_version,start_time,completion_status,completion_time,terminated_early,termination_reason,total_duration_ms,total_duration_min,datapipe_condition,cell_idx,speaker_condition,listener_belief_condition,sequence_idx,measure_order,comp1_some_correct,comp1_some_response,comp1_most_correct,comp1_most_response,comp2_correct,comp_multi_correct,comp_multi_selected,comp3_correct,comp3_selected,n_comp_correct,r1_utterance_predicate,r1_utterance_quantifier,r1_utterance_text,r1_effectiveness,r1_speaker_type,r1_rt,r2_utterance_predicate,r2_utterance_quantifier,r2_utterance_text,r2_effectiveness,r2_speaker_type,r2_rt,r3_utterance_predicate,r3_utterance_quantifier,r3_utterance_text,r3_effectiveness,r3_speaker_type,r3_rt,r4_utterance_predicate,r4_utterance_quantifier,r4_utterance_text,r4_effectiveness,r4_speaker_type,r4_rt,r5_utterance_predicate,r5_utterance_quantifier,r5_utterance_text,r5_effectiveness,r5_speaker_type,r5_rt,n_rounds_completed,completed_all_rounds,attention_check_passed,attention_effectiveness,attention_speaker_type,competence_score,competence_framing,saw_persuasive_reveal,open_speaker_strategy,open_estimation_strategy,open_feedback
1.0.0,2026-02-01T07:16:26.308Z,completed,2026-02-01T07:27:01.240Z,False,,634768,10.579466666666667,,,informative,vigilant,0.0,effectiveness_first,True,At least one and could be all.,False,More than 75% and could be all.,True,False,"[""all""]",False,"[2,3,0]",2,Effective,Most,The treatment was effective for most patients.,80.0,pro,,Ineffective,No,The treatment was ineffective for no patients.,100.0,neutral,,Effective,All,The treatment was effective for all patients.,100.0,pro,,Ineffective,No,The treatment was ineffective for no patients.,100.0,neutral,,Effective,All,The treatment was effective for all patients.,100.0,pro,,5,True,True,100.0,anti,81.0,goal_pursuit_effectiveness,False,The way they use the wording,,
1.0.0,2026-01-30T17:27:28.455Z,completed,2026-01-30T17:33:27.380Z,False,,358904,5.981733333333334,,,informative,naturalistic,0.0,speaker_type_first,False,At least one but must not be all.,False,More than 75% and could be all.,False,False,"[""all""]",True,"[0,2]",1,Effective,Most,The treatment was effective for most patients.,75.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,5,True,True,100.0,,100.0,communicator,False,,converted as a percentage re the info and likelyhood provided prior,"no, thank you"
1.0.0,2026-02-01T05:17:32.893Z,completed,2026-02-01T05:21:52.579Z,False,,259682,4.328033333333333,,,informative,credulous,1.0,effectiveness_first,False,At least two and could be all.,True,More than half and could be all.,True,True,"[""all"",""some""]",False,"[3,0,2]",3,Ineffective,Most,The treatment was ineffective for most patients.,25.0,,,Ineffective,All,The treatment was ineffective for all patients.,0.0,,,Effective,No,The treatment was effective for no patients.,0.0,,,Ineffective,All,The treatment was ineffective for all patients.,0.0,,,Effective,No,The treatment was effective for no patients.,0.0,,,5,True,True,100.0,,100.0,helpfulness,False,,,
1.0.0,2026-02-01T00:16:46.966Z,completed,2026-02-01T00:22:11.745Z,False,,324303,5.40505,,,pers_plus,vigilant,2.0,effectiveness_first,False,At least two but must not be all.,False,More than 75% but must not be all.,True,False,"[""all""]",True,"[0,2]",2,Effective,Most,The treatment was effective for most patients.,50.0,anti,,Ineffective,Some,The treatment was ineffective for some patients.,45.0,neutral,,Effective,Some,The treatment was effective for some patients.,50.0,pro,,Ineffective,Some,The treatment was ineffective for some patients.,35.0,neutral,,Effective,Some,The treatment was effective for some patients.,100.0,neutral,,5,True,True,100.0,anti,87.0,goal_pursuit_effectiveness,True,I just thought they sounded more scientifical than skeptical or like they were promoting.,,
1.0.0,2026-02-01T17:50:47.431Z,completed,2026-02-01T17:56:20.314Z,False,,332878,5.5479666666666665,,,pers_minus,vigilant,1.0,speaker_type_first,False,At least two but must not be all.,False,More than 75% but must not be all.,True,False,"[""all""]",True,"[2,0]",2,Ineffective,Most,The treatment was ineffective for most patients.,20.0,neutral,,Ineffective,Some,The treatment was ineffective for some patients.,60.0,neutral,,Effective,Some,The treatment was effective for some patients.,40.0,neutral,,Ineffective,Some,The treatment was ineffective for some patients.,60.0,neutral,,Effective,Some,The treatment was effective for some patients.,45.0,neutral,,5,True,True,100.0,anti,38.0,goal_pursuit_effectiveness,True,I just guessed.  I was not really able to figure that part of it out.  I should have thought about percentages more and that may have been a scientist.,,"no, good study."
1.0.0,2026-02-01T04:13:06.967Z,completed,2026-02-01T04:25:46.811Z,False,,759756,12.6626,,,pers_plus,vigilant,0.0,speaker_type_first,True,At least one and could be all.,True,More than half and could be all.,True,False,"[""all""]",True,"[0,2]",4,Effective,Some,The treatment was effective for some patients.,40.0,pro,,Effective,Some,The treatment was effective for some patients.,30.0,neutral,,Ineffective,Some,The treatment was ineffective for some patients.,20.0,anti,,Effective,Some,The treatment was effective for some patients.,40.0,neutral,,Effective,Some,The treatment was effective for some patients.,30.0,pro,,5,True,True,100.0,anti,70.0,goal_pursuit_effectiveness,True,"I thought about how the statements were said, if they used effective over ineffective and used positive language mre often or not",,n/a
1.0.0,2026-02-01T04:08:59.493Z,completed,2026-02-01T04:27:12.628Z,False,,1093119,18.21865,,,informative,naturalistic,0.0,speaker_type_first,False,At least one but must not be all.,True,More than half and could be all.,True,True,"[""all"",""some""]",True,"[2,0]",4,Effective,Most,The treatment was effective for most patients.,60.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,5,True,True,100.0,,100.0,helpfulness,False,,The speaker make it very clear on MOST of the descriptions!,none
1.0.0,2026-02-01T05:51:17.213Z,completed,2026-02-01T05:57:25.387Z,False,,368169,6.13615,,,informative,vigilant,1.0,effectiveness_first,False,At least two and could be all.,True,More than half and could be all.,True,False,"[""all""]",True,"[2,0]",3,Ineffective,Most,The treatment was ineffective for most patients.,25.0,neutral,,Ineffective,All,The treatment was ineffective for all patients.,0.0,neutral,,Effective,No,The treatment was effective for no patients.,0.0,neutral,,Ineffective,All,The treatment was ineffective for all patients.,0.0,anti,,Effective,No,The treatment was effective for no patients.,0.0,neutral,,5,True,True,100.0,anti,84.0,goal_pursuit_effectiveness,False,"If they said all, then I thought it was a scientist because they would have data to back up the statement. ",,No
1.0.0,2026-01-30T17:42:14.582Z,completed,2026-01-30T17:47:20.861Z,False,,306204,5.1034,,,informative,naturalistic,0.0,effectiveness_first,False,At least one but must not be all.,False,More than 75% but must not be all.,True,True,"[""some"",""all""]",True,"[0,2]",3,Effective,Most,The treatment was effective for most patients.,80.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,5,True,True,100.0,,100.0,communicator,False,,for the most i set to 80% as a base of cover and the others were bang on easy to follow,nope 
1.0.0,2026-01-30T16:01:03.459Z,completed,2026-01-30T16:09:04.487Z,False,,481023,8.01705,,,pers_plus,naturalistic,2.0,speaker_type_first,True,At least one and could be all.,True,More than half and could be all.,True,True,"[""some"",""all""]",True,"[0,2]",5,Effective,Most,The treatment was effective for most patients.,70.0,,,Ineffective,Some,The treatment was ineffective for some patients.,25.0,,,Effective,Some,The treatment was effective for some patients.,30.0,,,Ineffective,Some,The treatment was ineffective for some patients.,75.0,,,Effective,Some,The treatment was effective for some patients.,25.0,,,5,True,True,100.0,,97.0,communicator,False,,I just used the rules outlined and moved the bar to the minimum for that rule,
1.0.0,2026-01-31T22:49:37.854Z,completed,2026-01-31T22:56:15.952Z,False,,398079,6.63465,,,pers_plus,naturalistic,0.0,effectiveness_first,False,At least two but must not be all.,False,More than 75% and could be all.,True,False,"[""all""]",True,"[2,0]",2,Effective,Some,The treatment was effective for some patients.,75.0,,,Effective,Some,The treatment was effective for some patients.,80.0,,,Ineffective,Some,The treatment was ineffective for some patients.,40.0,,,Effective,Some,The treatment was effective for some patients.,55.0,,,Effective,Some,The treatment was effective for some patients.,70.0,,,5,True,True,100.0,,50.0,helpfulness,False,,i made my own judgments based on what the assessment showed..if it indicated it was effective for most i would have it over 50% for example,good study
1.0.0,2026-01-31T21:42:26.468Z,completed,2026-01-31T21:59:34.989Z,False,,1028497,17.141616666666668,,,pers_minus,vigilant,2.0,effectiveness_first,True,At least one and could be all.,False,More than half but must not be all.,True,False,"[""all""]",False,[2],2,Ineffective,Most,The treatment was ineffective for most patients.,20.0,neutral,,Effective,Some,The treatment was effective for some patients.,30.0,anti,,Ineffective,Some,The treatment was ineffective for some patients.,80.0,neutral,,Effective,Some,The treatment was effective for some patients.,30.0,anti,,Ineffective,Some,The treatment was ineffective for some patients.,80.0,neutral,,5,True,True,100.0,anti,100.0,goal_pursuit_effectiveness,True,I decided what type of speaker I was paired with based on my interpretation of their result description.The aspects of their descriptions that influenced my judgement was the language they used to reflect the results.,,Engaging study.Thank you.
1.0.0,2026-02-01T05:51:27.195Z,completed,2026-02-01T06:01:53.727Z,False,,625991,10.433183333333334,,,informative,credulous,0.0,effectiveness_first,False,At least two and could be all.,False,More than half but must not be all.,True,False,"[""all""]",False,[2],1,Effective,Most,The treatment was effective for most patients.,35.0,,,Ineffective,No,The treatment was ineffective for no patients.,0.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,Ineffective,No,The treatment was ineffective for no patients.,0.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,5,True,True,100.0,,49.0,helpfulness,False,,,
1.0.0,2026-01-31T22:39:46.029Z,completed,2026-01-31T22:49:16.368Z,False,,570259,9.504316666666666,,,informative,vigilant,0.0,speaker_type_first,False,At least one but must not be all.,False,More than half but must not be all.,False,False,"[""all""]",True,"[0,2]",1,Effective,Most,The treatment was effective for most patients.,65.0,pro,,Ineffective,No,The treatment was ineffective for no patients.,20.0,anti,,Effective,All,The treatment was effective for all patients.,70.0,neutral,,Ineffective,No,The treatment was ineffective for no patients.,35.0,anti,,Effective,All,The treatment was effective for all patients.,50.0,pro,,5,True,True,100.0,anti,78.0,goal_pursuit_effectiveness,False,Just with the information provided before the task started.,,
1.0.0,2026-01-30T16:57:03.607Z,completed,2026-01-30T17:05:12.393Z,False,,488775,8.14625,,,informative,credulous,1.0,effectiveness_first,True,At least one and could be all.,True,More than half and could be all.,True,True,"[""some"",""all""]",True,"[0,2]",5,Ineffective,Most,The treatment was ineffective for most patients.,20.0,,,Ineffective,All,The treatment was ineffective for all patients.,25.0,,,Effective,No,The treatment was effective for no patients.,20.0,,,Ineffective,All,The treatment was ineffective for all patients.,75.0,,,Effective,No,The treatment was effective for no patients.,15.0,,,5,True,True,100.0,,75.0,informativeness,False,,I used the instruction ,No comment
1.0.0,2026-02-01T06:07:33.988Z,completed,2026-02-01T06:11:51.118Z,False,,256726,4.278766666666667,,,informative,credulous,1.0,speaker_type_first,False,At least one but must not be all.,True,More than half and could be all.,True,True,"[""all"",""some""]",True,"[0,2]",4,Ineffective,Most,The treatment was ineffective for most patients.,30.0,,,Ineffective,All,The treatment was ineffective for all patients.,0.0,,,Effective,No,The treatment was effective for no patients.,0.0,,,Ineffective,All,The treatment was ineffective for all patients.,5.0,,,Effective,No,The treatment was effective for no patients.,5.0,,,5,True,True,100.0,,0.0,helpfulness,False,,,
1.0.0,2026-01-30T17:19:57.759Z,completed,2026-01-30T17:26:27.941Z,False,,390096,6.5016,,,informative,credulous,1.0,speaker_type_first,True,At least one and could be all.,True,More than half and could be all.,True,True,"[""all"",""some""]",True,"[0,2]",5,Ineffective,Most,The treatment was ineffective for most patients.,20.0,,,Ineffective,All,The treatment was ineffective for all patients.,0.0,,,Effective,No,The treatment was effective for no patients.,0.0,,,Ineffective,All,The treatment was ineffective for all patients.,0.0,,,Effective,No,The treatment was effective for no patients.,0.0,,,5,True,True,100.0,,95.0,informativeness,False,,Simply interpreting what they said and figuring out the most likely result.,No further comments.
1.0.0,2026-01-30T23:53:26.541Z,completed,2026-01-30T23:57:50.943Z,False,,262857,4.38095,,,informative,naturalistic,0.0,effectiveness_first,False,At least two and could be all.,False,More than 75% but must not be all.,False,True,"[""all"",""some""]",False,"[3,2,0]",1,Effective,Most,The treatment was effective for most patients.,90.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,Ineffective,No,The treatment was ineffective for no patients.,100.0,,,Effective,All,The treatment was effective for all patients.,100.0,,,5,True,True,100.0,,100.0,communicator,False,,if all was 100% otherwise less than,
1.0.0,2026-01-30T16:08:58.754Z,completed,2026-01-30T16:15:13.974Z,False,,374813,6.246883333333333,,,informative,credulous,1.0,speaker_type_first,False,At least two but must not be all.,False,More than 75% and could be all.,True,False,"[""all""]",True,"[2,0]",2,Ineffective,Most,The treatment was ineffective for most patients.,20.0,,,Ineffective,All,The treatment was ineffective for all patients.,0.0,,,Effective,No,The treatment was effective for no patients.,0.0,,,Ineffective,All,The treatment was ineffective for all patients.,0.0,,,Effective,No,The treatment was effective for no patients.,0.0,,,5,True,True,100.0,,100.0,informativeness,False,,If they said it was effective or ineffective for no or some patients.,
1.0.0,2026-01-31T23:43:01.744Z,completed,2026-01-31T23:45:56.790Z,False,,175020,2.917,,,pers_plus,vigilant,0.0,effectiveness_first,True,At least one and could be all.,True,More than half and could be all.,True,False,"[""all""]",True,"[0,2]",4,Effective,Some,The treatment was effective for some patients.,35.0,anti,,Effective,Some,The treatment was effective for some patients.,25.0,anti,,Ineffective,Some,The treatment was ineffective for some patients.,70.0,anti,,Effective,Some,The treatment was effective for some patients.,35.0,anti,,Effective,Some,The treatment was effective for some patients.,60.0,anti,,5,True,True,100.0,anti,62.0,goal_pursuit_effectiveness,True,"They never gave a review of them ever being most or all effective, so seemed like they wanted it to be worse than it was. ",,
1.0.0,2026-02-01T08:37:55.538Z,completed,2026-02-01T08:48:06.034Z,False,,610490,10.174833333333334,,,pers_plus,naturalistic,0.0,speaker_type_first,False,At least one but must not be all.,True,More than half and could be all.,True,True,"[""all"",""some""]",True,"[0,2]",4,Effective,Some,The treatment was effective for some patients.,30.0,,,Effective,Some,The treatment was effective for some patients.,30.0,,,Ineffective,Some,The treatment was ineffective for some patients.,35.0,,,Effective,Some,The treatment was effective for some patients.,40.0,,,Effective,Some,The treatment was effective for some patients.,25.0,,,5,True,True,100.0,,35.0,helpfulness,False,,"The speaker's description was vague and used the word ""some"" all the time. Since the speaker didn't use the word ""most"" I assumed that ""some"" would mean less than the majority so I attributed the word ""some"" to low percentages, even though it could mean 100%,",
1.0.0,2026-02-01T13:31:47.666Z,completed,2026-02-01T13:46:59.800Z,False,,910386,15.1731,,,pers_plus,vigilant,0.0,effectiveness_first,True,At least one and could be all.,False,More than 75% and could be all.,True,True,"[""all"",""some""]",True,"[2,0]",4,Effective,Some,The treatment was effective for some patients.,40.0,anti,,Effective,Some,The treatment was effective for some patients.,40.0,anti,,Ineffective,Some,The treatment was ineffective for some patients.,20.0,anti,,Effective,Some,The treatment was effective for some patients.,40.0,anti,,Effective,Some,The treatment was effective for some patients.,40.0,anti,,5,True,True,100.0,anti,80.0,goal_pursuit_effectiveness,True,I thought they were a skeptic based on saying some every time.,,no
1.0.0,2026-02-01T18:31:16.930Z,completed,2026-02-01T18:43:09.247Z,False,,711279,11.85465,,,pers_plus,credulous,0.0,speaker_type_first,False,At least one but must not be all.,False,More than 75% and could be all.,True,False,"[""all""]",False,[2],1,Effective,Some,The treatment was effective for some patients.,30.0,,,Effective,Some,The treatment was effective for some patients.,40.0,,,Ineffective,Some,The treatment was ineffective for some patients.,75.0,,,Effective,Some,The treatment was effective for some patients.,55.0,,,Effective,Some,The treatment was effective for some patients.,70.0,,,5,True,True,100.0,,100.0,helpfulness,False,,,None
1.0.0,2026-02-01T00:04:45.388Z,completed,2026-02-01T00:20:39.384Z,False,,953835,15.89725,,,informative,vigilant,0.0,speaker_type_first,True,At least one and could be all.,False,More than half but must not be all.,True,True,"[""some"",""all""]",True,"[0,2]",4,Effective,Most,The treatment was effective for most patients.,75.0,neutral,,Ineffective,No,The treatment was ineffective for no patients.,100.0,anti,,Effective,All,The treatment was effective for all patients.,100.0,neutral,,Ineffective,No,The treatment was ineffective for no patients.,100.0,neutral,,Effective,All,The treatment was effective for all patients.,100.0,neutral,,5,True,True,100.0,anti,80.0,goal_pursuit_effectiveness,False,"I ruled out the skeptic because they could have said effective for some when the results showed it was 100% effective. They could have been a promotor but what dissuaded me was when they said ineffective for none (which sounds odd) instead of just saying effective for all (which is still factual, but would have been more positively said).",,
1.0.0,2026-02-01T11:41:21.012Z,completed,2026-02-01T11:48:27.246Z,False,,426227,7.103783333333333,,,pers_plus,naturalistic,0.0,effectiveness_first,False,At least two and could be all.,True,More than half and could be all.,True,False,"[""all""]",False,"[0,3,2]",2,Effective,Some,The treatment was effective for some patients.,35.0,,,Effective,Some,The treatment was effective for some patients.,40.0,,,Ineffective,Some,The treatment was ineffective for some patients.,50.0,,,Effective,Some,The treatment was effective for some patients.,55.0,,,Effective,Some,The treatment was effective for some patients.,50.0,,,5,True,True,100.0,,59.0,helpfulness,False,,,
1.0.0,2026-02-01T07:02:02.939Z,completed,2026-02-01T07:18:02.342Z,False,,959391,15.98985,,,pers_minus,credulous,2.0,speaker_type_first,True,At least one and could be all.,True,More than half and could be all.,True,False,"[""all""]",False,[2],3,Ineffective,Most,The treatment was ineffective for most patients.,10.0,,,Effective,Some,The treatment was effective for some patients.,15.0,,,Ineffective,Some,The treatment was ineffective for some patients.,90.0,,,Effective,Some,The treatment was effective for some patients.,80.0,,,Ineffective,Some,The treatment was ineffective for some patients.,70.0,,,5,True,True,100.0,,65.0,helpfulness,False,,,I was pleased to participate although I struggled to fully comprehend regarding the difference between some effective and sonme ineffective.
1.0.0,2026-02-01T00:12:19.300Z,completed,2026-02-01T00:23:54.047Z,False,,694708,11.578466666666667,,,pers_minus,naturalistic,0.0,effectiveness_first,False,At least two but must not be all.,False,More than 75% but must not be all.,False,False,"[""all""]",True,"[2,0]",1,Ineffective,Some,The treatment was ineffective for some patients.,75.0,,,Ineffective,Some,The treatment was ineffective for some patients.,75.0,,,Effective,Some,The treatment was effective for some patients.,75.0,,,Ineffective,Some,The treatment was ineffective for some patients.,50.0,,,Ineffective,Some,The treatment was ineffective for some patients.,75.0,,,5,True,True,100.0,,55.0,helpfulness,False,,The descriptions were useful to chck the effectiveness,great
1.0.0,2026-02-01T15:47:23.964Z,completed,2026-02-01T15:55:09.777Z,False,,465785,7.763083333333333,,,pers_plus,naturalistic,0.0,speaker_type_first,False,At least one but must not be all.,False,More than half but must not be all.,True,True,"[""all"",""some""]",True,"[0,2]",3,Effective,Some,The treatment was effective for some patients.,40.0,,,Effective,Some,The treatment was effective for some patients.,60.0,,,Ineffective,Some,The treatment was ineffective for some patients.,50.0,,,Effective,Some,The treatment was effective for some patients.,80.0,,,Effective,Some,The treatment was effective for some patients.,80.0,,,5,True,True,100.0,,21.0,helpfulness,False,,I just kind of wnt mid range and took it from there. It wa impossible to tell. ,none
1.0.0,2026-02-01T04:18:36.964Z,completed,2026-02-01T04:34:12.870Z,False,,935894,15.598233333333333,,,informative,naturalistic,1.0,effectiveness_first,True,At least one and could be all.,True,More than half and could be all.,True,False,"[""all""]",True,"[2,0]",4,Ineffective,Most,The treatment was ineffective for most patients.,15.0,,,Ineffective,All,The treatment was ineffective for all patients.,0.0,,,Effective,No,The treatment was effective for no patients.,0.0,,,Ineffective,All,The treatment was ineffective for all patients.,0.0,,,Effective,No,The treatment was effective for no patients.,0.0,,,5,True,True,100.0,,100.0,helpfulness,False,,I trusted that they knew how to interpret on their end.,
